foresight_mode,bias,total_cost,total_additions,premium_vs_nobias_pct,premium_vs_PF_pct
perfect_foresight,0.0,1013828.6534968844,1620.59937245071,-8.192356511892351,0.0
rolling_horizon,0.0,1104296.5650547508,824.6399459720121,0.0,8.923392650802043
rolling_horizon,0.05,1103817.419667886,825.1768207432417,-0.043389194716991764,8.876131667872444
rolling_horizon,0.1,1102635.1656580674,829.3853271904446,-0.15044866109865662,8.75951886493569
rolling_horizon,0.2,1098101.666012306,844.102374857373,-0.5609814644436217,8.312352607587915
rolling_horizon,0.3,1092067.6693553026,855.7658974435896,-1.1073923515140027,7.717183331577493
rolling_horizon,0.4,1096325.0157868592,839.0602651216335,-0.7218667086496211,8.13711094132421
rolling_horizon,0.5,1088572.90277308,847.7265936625372,-1.42386228294491,7.37247354554329
rolling_horizon,0.6,1082522.7158546012,862.2962335214589,-1.971739285367602,6.775707326950986
rolling_horizon,0.7,1080906.5449061452,864.9971786890842,-2.118092266948768,6.616294694167157
rolling_horizon,0.8,1074770.0004548838,892.1465189294975,-2.67378940895312,6.011010514232495
rolling_horizon,0.9,1067703.4792574227,927.3283154210685,-3.3137009527430483,5.313997150772365
rolling_horizon,0.95,1062621.9512710092,944.7433913261277,-3.773860673167573,4.812775571673544
rolling_horizon,1.0,1060758.2550749832,947.1899847997113,-3.9426283987045507,4.6289480393190585
rolling_horizon,1.5,1054517.1605848323,985.7246193835058,-4.50779310967524,4.013351462064674
rolling_horizon,2.0,1050126.6884015494,1005.0074839723821,-4.905374006167962,3.580292861073353
rolling_horizon,3.0,1129018.945014137,1113.3177951411299,2.2387446218453677,11.361909245703394
rolling_horizon,5.0,1228086.782108083,1859.2840037256294,11.209870696934999,21.133564125671754
rolling_horizon,10.0,1207763.9579860868,2207.224811387624,9.369529545372268,19.129002107040805
rolling_horizon,50.0,1515447.7494207865,2280.3216633751817,37.23195356907145,49.47769962840607
rolling_horizon,100.0,1534316.3130101217,2252.0566792453787,38.940603599002465,51.33881920953587
